address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
457451,Picard Paul,"22 Rue de la Folie Méricourt, Paris, France",poi,Paris,48.862522,2.373678,http://tour-pedia.org/api/getPlaceDetails?id=457451,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457451,,,
457452,Ermery Pierre,"Ermery Pierre, 71, boulevard Voltaire, 75011 Paris tél 0618402875, France",poi,Paris,48.861722,2.373948,http://tour-pedia.org/api/getPlaceDetails?id=457452,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457452,,,
457453,Grenier Alain,"49 Boulevard Voltaire, Paris, France",poi,Paris,48.862396,2.37268,http://tour-pedia.org/api/getPlaceDetails?id=457453,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457453,,,
457454,Sebban Alain,"84 Boulevard Richard Lenoir, Paris, France",poi,Paris,48.861923,2.37295,http://tour-pedia.org/api/getPlaceDetails?id=457454,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457454,,,
457455,Louveau Jean-Charles,"2 Rue Saint-Ambroise, Paris, France",poi,Paris,48.861584,2.37626,http://tour-pedia.org/api/getPlaceDetails?id=457455,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457455,,,
457456,Serres Didier,"6 Rue de la Folie Méricourt, Paris, France",poi,Paris,48.861419,2.374836,http://tour-pedia.org/api/getPlaceDetails?id=457456,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457456,,,
457457,Poirier Claude,"2 Rue Pasteur, Paris, France",poi,Paris,48.861626,2.374516,http://tour-pedia.org/api/getPlaceDetails?id=457457,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457457,,,
457458,Loyon Nathalie,"2 Rue Pasteur, Paris, France",poi,Paris,48.861626,2.374516,http://tour-pedia.org/api/getPlaceDetails?id=457458,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457458,,,
457459,Bensaid Laurence,"2 Rue Pasteur, Paris, France",poi,Paris,48.861626,2.374516,http://tour-pedia.org/api/getPlaceDetails?id=457459,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457459,,,
457460,Vigier Marie-Claude,"72 Boulevard Voltaire, Paris, France",poi,Paris,48.861354,2.373947,http://tour-pedia.org/api/getPlaceDetails?id=457460,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457460,,,
457461,Farges Cecile,"00003 Rue Saint-Ambroise, Paris, France",poi,Paris,48.861299,2.37533,http://tour-pedia.org/api/getPlaceDetails?id=457461,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457461,,,
457462,Makdessi Nathalie,"5 Bis Cité Popincourt, Paris, France",poi,Paris,48.86225,2.374509,http://tour-pedia.org/api/getPlaceDetails?id=457462,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457462,,,
457463,Guis Gilles,"6 Rue de la Folie Méricourt, Paris, France",poi,Paris,48.861419,2.374836,http://tour-pedia.org/api/getPlaceDetails?id=457463,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457463,,,
457464,Nehaissi Suzette,"11 Rue Saint-Ambroise, Paris, France",poi,Paris,48.861842,2.376486,http://tour-pedia.org/api/getPlaceDetails?id=457464,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457464,,,
457465,Gibrat Marie-Odile,"2 Rue Pasteur, Paris, France",poi,Paris,48.861626,2.374516,http://tour-pedia.org/api/getPlaceDetails?id=457465,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457465,,,
457466,Ohniguian Emmanuele Marie Ange,"72 Boulevard Voltaire, Paris, France",poi,Paris,48.861354,2.373947,http://tour-pedia.org/api/getPlaceDetails?id=457466,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457466,,,
457467,Lippe Didier,"64 Boulevard Voltaire, Paris, France",poi,Paris,48.861632,2.373475,http://tour-pedia.org/api/getPlaceDetails?id=457467,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457467,,,
457468,Quinat Anne,"6 Rue de la Folie Méricourt, Paris, France",poi,Paris,48.861419,2.374836,http://tour-pedia.org/api/getPlaceDetails?id=457468,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457468,,,
457469,Hasson Evelyne,"16 Rue de la Folie Méricourt, Paris, France",poi,Paris,48.862069,2.374113,http://tour-pedia.org/api/getPlaceDetails?id=457469,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457469,,,
457470,Scm Allo Soins,"2 Rue Pasteur, Paris, France",poi,Paris,48.861626,2.374516,http://tour-pedia.org/api/getPlaceDetails?id=457470,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=457470,,,
